STATE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,TWAY_ID,SCH_BUS,RAIL,FATALS,DRUNK_DR
1,1,0,1,43,7,5,US-SR 3,0,0,1,0
1,2,0,2,31,7,5,SR-167,0,0,1,0
1,1,0,1,73,7,6,SR-150,0,0,1,0
1,1,1,1,103,7,7,CR-UPPER RIVER ROAD,0,0,1,0
1,2,0,3,89,7,7,CR-NANCE ROAD,0,0,1,0
1,1,0,1,45,7,1,SR-27,0,0,1,0
1,2,0,3,81,7,1,US-SR 431,0,0,1,0
1,2,0,4,97,7,2,I-10,0,0,1,0
1,1,0,1,79,7,2,CR-314,0,0,1,1
1,1,0,1,51,7,4,CR-MOUNT HEBRON RD,0,0,1,0
1,1,0,1,45,7,5,MATTHEWS AVE,0,0,1,1
1,1,0,1,73,7,3,I-59,0,0,1,0
1,1,0,2,21,8,2,CR-42,0,0,1,1
1,2,0,2,121,7,6,US-SR 38,0,0,1,0
1,2,0,3,85,7,6,I-65,0,0,1,1
1,2,0,2,73,7,4,SR-75,0,0,1,0
1,2,0,6,131,8,3,SR-5,0,0,1,0
1,2,0,3,117,7,1,CR-OLD BUTTERMILK ROAD,0,0,1,0
1,1,0,6,53,7,2,CR-55,0,0,1,1
1,1,0,1,49,7,3,CR-485,0,0,1,1
1,1,0,2,127,7,4,SR-69,0,0,1,0
1,1,0,1,51,7,6,CR-4,0,0,1,1
1,1,0,2,115,7,6,CR-CROSSOVER RD,0,0,1,1
1,1,0,2,3,7,7,CR-11,0,0,1,1
1,2,0,2,121,7,1,I-20,0,0,2,0
1,3,0,6,125,7,3,US-SR 6,0,0,1,1
1,1,0,1,73,7,4,CR-MAC HICKS ROAD,0,0,1,0
1,1,0,1,127,8,5,CR-PROSPECT RD,0,0,1,0
1,2,0,2,35,8,6,CR-23,0,0,1,0
1,2,0,2,111,8,6,US-SR 1,0,0,1,0
1,1,0,3,89,8,7,CR-OLD RAILROAD BED RD,0,0,1,1
1,2,0,2,95,8,1,SR-227,0,0,1,1
1,1,0,1,65,8,2,CR-50,0,0,1,0
1,1,0,1,51,8,2,CR-COLD SPRINGS ROAD,0,0,1,0
1,2,1,3,73,6,7,US-SR 5,0,0,1,1
1,3,0,4,73,6,7,US-SR 38,0,0,1,1
1,2,0,2,125,8,2,SR-69,0,0,1,0
1,1,0,1,77,8,4,CR-7,0,0,1,1
1,2,0,2,111,7,2,CR-531,0,0,1,0
1,1,0,1,89,8,1,CR-PATTERSON LANE,0,0,1,0
1,5,0,9,125,8,4,I-59,0,0,1,0
1,2,0,3,21,8,5,I-65,0,0,1,0
1,1,1,1,1,8,7,CR-1,0,0,1,0
1,2,0,3,51,8,3,SR-14,0,0,1,0
1,3,0,6,111,8,5,US-SR 1,0,0,1,0
1,2,0,2,113,8,4,SR-169,0,0,1,0
1,2,0,5,3,2,6,US-SR 42,0,0,2,0
1,1,0,1,83,8,7,SR-99,0,0,1,0
1,1,0,2,17,8,1,CR-388,0,0,1,1
1,3,0,3,81,8,2,CR-270,0,0,1,1
1,2,0,5,43,8,3,US-SR 3,0,0,1,0
1,1,0,1,11,8,1,CR-177,0,0,1,1
1,1,0,1,13,8,1,CR-46,0,0,1,1
1,1,0,1,97,8,2,SR-217,0,0,1,0
1,1,0,4,73,8,4,I-59,0,0,1,0
1,1,0,1,39,8,1,CR-32,0,0,1,1
1,2,0,2,73,8,6,CR-TARRANT HUFFMAN RD,0,0,1,1
1,1,0,2,11,8,5,PEACHBURG ROAD,0,0,1,1
1,1,0,1,123,8,6,SR-22,0,0,1,0
1,2,0,2,49,2,6,CR-SCENIC ROAD E,0,0,1,0
1,1,0,1,73,8,5,GRANTS MILL ROAD,0,0,1,0
1,1,0,1,33,8,2,SR-184,0,0,1,0
1,3,0,3,89,8,3,WALL TRIANA HWY,0,0,1,0
1,2,0,2,113,8,5,SR-165,0,0,1,0
1,2,0,2,115,8,6,SR-23,1,0,1,0
1,2,0,4,59,8,6,US-SR 17,0,0,1,0
1,1,0,1,97,8,6,CR-PADGETT SWITCH ROAD,0,0,1,0
1,3,0,1,73,8,6,SR-269 20TH ST ENSLEY,0,0,1,0
1,2,0,2,3,8,5,SR-225,0,0,1,0
1,1,0,3,49,8,6,CR-CARTER ST,0,0,2,0
1,2,0,3,17,9,1,CR-389,0,0,1,0
1,2,0,3,91,9,1,US-SR 13,0,0,2,0
1,1,1,1,83,9,2,SR-251,0,0,1,0
1,1,0,1,101,9,3,CR-OLD CARTER HILL ROAD,0,0,1,0
1,2,0,2,83,9,3,CR-NICK DAVIS RD,0,0,1,0
1,1,0,2,49,9,4,CR-295,0,0,1,0
